               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11454,            0.026395,             0.03686,          0.00013755,             0.36061,          9.5955e-05,          1.5928e-05,            0.074875,            0.012254,             0.02643,             0.00011,             0.00011,             0.09901
                   1,             0.10173,             0.03122,            0.036217,          0.00043077,            0.060606,          0.00033615,          6.1796e-05,            0.064479,            0.011473,            0.025477,          0.00022943,          0.00022943,            0.097929
                   2,            0.088948,            0.035328,            0.034109,           0.0035632,            0.037879,           0.0011567,          0.00024686,            0.058077,            0.010801,            0.024652,          0.00034656,          0.00034656,            0.096847
                   3,            0.085999,            0.035987,            0.032885,             0.74612,            0.015152,           0.0087523,           0.0024228,            0.054675,            0.010554,            0.023562,          0.00045965,          0.00045965,             0.09576
                   4,            0.078864,            0.037285,            0.030918,             0.76107,            0.015152,            0.013242,           0.0034659,            0.049953,           0.0097093,             0.02272,          0.00056705,          0.00056705,            0.094667
                   5,            0.076471,            0.036763,            0.029008,             0.69758,            0.083333,            0.015754,           0.0062884,            0.047173,             0.00992,            0.021624,           0.0006672,           0.0006672,            0.093567
                   6,            0.072006,            0.037758,             0.02659,             0.37093,             0.24848,             0.02529,            0.012067,            0.042196,           0.0090285,            0.020157,          0.00075867,          0.00075867,            0.092459
                   7,            0.068123,            0.038055,            0.026103,             0.70366,            0.098485,            0.025817,            0.014546,            0.039707,           0.0089942,            0.019026,          0.00084019,          0.00084019,             0.09134
                   8,            0.064072,            0.035838,            0.024023,             0.72573,             0.12121,            0.038537,            0.015432,            0.038192,           0.0090036,            0.018833,          0.00091069,          0.00091069,            0.090211
                   9,            0.060064,            0.033688,            0.025473,             0.72349,             0.11364,             0.03858,            0.023828,            0.034031,           0.0095987,            0.018215,          0.00096926,          0.00096926,            0.089069
                  10,            0.058802,            0.034814,            0.022803,             0.73025,             0.12121,            0.048877,            0.022945,            0.031382,            0.009402,            0.017962,           0.0010153,           0.0010153,            0.087915
                  11,             0.05666,            0.032958,            0.022072,             0.71527,                0.25,             0.05106,            0.032071,            0.029492,           0.0086924,            0.017231,           0.0010482,           0.0010482,            0.086748
                  12,            0.053302,            0.030886,            0.024141,              0.6991,                0.25,            0.033519,            0.014979,            0.031433,           0.0084276,            0.016997,            0.001068,            0.001068,            0.085568
                  13,            0.056293,            0.029461,            0.023298,             0.71533,             0.19697,            0.055147,            0.022069,            0.027958,             0.00822,             0.01686,           0.0010747,           0.0010747,            0.084375
                  14,            0.057495,            0.031081,            0.020348,              0.7183,             0.11364,            0.042362,            0.012367,            0.033604,           0.0078734,            0.016601,           0.0010687,           0.0010687,            0.083169
                  15,            0.054926,            0.029409,            0.019531,             0.37968,             0.33918,             0.04382,            0.022391,            0.032672,           0.0073288,            0.017024,           0.0010505,           0.0010505,            0.081951
                  16,            0.054355,            0.030046,             0.02061,             0.72417,             0.18182,            0.065013,            0.031422,            0.031359,           0.0075105,            0.016914,            0.001021,            0.001021,            0.080721
                  17,            0.053191,            0.028827,            0.018743,             0.73923,             0.10606,            0.057194,            0.015295,            0.032846,           0.0076567,            0.017008,          0.00098135,          0.00098135,            0.079481
                  18,            0.051216,            0.027362,            0.020378,             0.05751,             0.39091,            0.054817,            0.014871,            0.029038,           0.0076287,            0.016028,          0.00093284,          0.00093284,            0.078233
                  19,            0.049359,            0.026793,            0.018626,            0.055107,             0.39772,            0.067538,            0.022574,            0.025314,           0.0079067,            0.016761,          0.00087705,          0.00087705,            0.076977
                  20,            0.046068,              0.0286,            0.016854,             0.40609,             0.31667,            0.075185,            0.027064,            0.025721,           0.0078474,            0.017152,          0.00081575,          0.00081575,            0.075716
                  21,            0.047072,            0.028234,              0.0178,             0.42157,             0.39091,            0.088468,            0.036319,            0.026298,           0.0074867,             0.01695,          0.00075086,          0.00075086,            0.074451
                  22,            0.044536,            0.027125,            0.017294,             0.53911,             0.32424,             0.11182,             0.06773,            0.024537,           0.0076797,            0.017521,          0.00068445,          0.00068445,            0.073184
                  23,            0.043951,            0.027983,            0.015634,               0.423,             0.38333,             0.08625,            0.037289,            0.026249,           0.0079056,            0.017373,          0.00061873,          0.00061873,            0.071919
                  24,            0.045277,            0.027799,            0.016177,             0.46943,             0.38121,             0.10233,            0.050471,            0.024452,           0.0074448,            0.017414,          0.00055597,          0.00055597,            0.070656
                  25,            0.040728,            0.025974,            0.014371,             0.47232,             0.38511,             0.10227,            0.058347,            0.022661,           0.0075076,            0.017158,           0.0004985,           0.0004985,            0.069398
                  26,            0.041435,            0.028081,            0.014523,             0.46098,             0.38333,             0.09723,            0.049623,            0.024202,           0.0075454,             0.01678,          0.00044866,          0.00044866,            0.068149
                  27,            0.041212,            0.025268,            0.015111,               0.462,             0.37506,            0.099873,             0.06668,            0.022636,           0.0074899,            0.016846,          0.00040878,          0.00040878,            0.066909
                  28,            0.042031,            0.025397,            0.015959,             0.46975,             0.37516,             0.10538,            0.072534,             0.02175,           0.0077346,            0.016796,          0.00038112,          0.00038112,            0.065681
                  29,             0.04007,             0.02622,            0.015022,             0.46267,             0.38333,            0.096972,            0.065455,            0.021517,           0.0077579,            0.016496,          0.00036785,          0.00036785,            0.064468
